Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality
jhipster-microservices-example_jhipster-registry,Basilisk_benchmark-service,jhipster-microservices-example_jhipster-registry,Basilisk_benchmark-service,Basilisk_rabbitmq,Basilisk_benchmark-service,Basilisk_benchmark-service,Basilisk_rabbitmq,Basilisk_benchmark-service,Basilisk_benchmark-service,Basilisk_rabbitmq,Basilisk_benchmark-service,train-ticket_v0.0.1_ts-notification-service
microservice-kafka_order,Basilisk_repository-service,microservice-kafka_invoicing,Basilisk_repository-service,jhipster-microservices-example_jhipster-registry,Basilisk_repository-service,Basilisk_repository-service,jhipster-microservices-example_jhipster-registry,Basilisk_repository-service,Basilisk_repository-service,jhipster-microservices-example_jhipster-registry,Basilisk_repository-service,
microservice-kafka_kafka,Basilisk_rabbitmq,microservice-kafka_order,Basilisk_rabbitmq,microservice-kafka_order,Basilisk_rabbitmq,Basilisk_rabbitmq,microservice-kafka_invoicing,Basilisk_rabbitmq,Basilisk_rabbitmq,jhipster-microservices-example_store,jhipster-microservices-example_blog,
qbike_rabbit,jhipster-microservices-example_jhipster-registry,microservice-kafka_shipping,DentalAppointment_personal-info-service,microservice-kafka_kafka,jhipster-microservices-example_jhipster-registry,DentalAppointment_personal-info-service,microservice-kafka_order,DentalAppointment_personal-info-service,DentalAppointment_personal-info-service,jhipster-microservices-example_github-repository,jhipster-microservices-example_jhipster-registry,
train-ticket_v0.0.1_ts-admin-basic-info-service,jhipster-microservices-example_store,microservice-kafka_kafka,jhipster-microservices-example_blog,microservice-kafka_apache,jhipster-microservices-example_store,DentalAppointment_mail-server,microservice-kafka_shipping,jhipster-microservices-example_blog,DentalAppointment_mail-server,micro_webshop_auth-server,jhipster-microservices-example_store,
train-ticket_v1.0.0_ts-admin-basic-info-service,microservice-kafka_invoicing,piggymetrics_rabbitmq,jhipster-microservices-example_jhipster-registry,microservice-kafka_postgres,jhipster-microservices-example_github-repository,jhipster-microservices-example_blog,microservice-kafka_kafka,jhipster-microservices-example_jhipster-registry,geocoder-microservices_hystrix-dashboard,microservice-kafka_kafka,microservice-kafka_invoicing,
,microservice-kafka_order,qbike_mysql,jhipster-microservices-example_store,qbike_uc,microservice-kafka_order,jhipster-microservices-example_jhipster-registry,piggymetrics_rabbitmq,jhipster-microservices-example_store,jhipster-microservices-example_blog,microservice-kafka_apache,microservice-kafka_order,
,microservice-kafka_shipping,qbike_rabbit,microservice-kafka_invoicing,qbike_intention,microservice-kafka_kafka,jhipster-microservices-example_store,qbike_qbike-order,micro_webshop_zuul,jhipster-microservices-example_jhipster-registry,microservice-kafka_postgres,microservice-kafka_shipping,
,microservice-kafka_kafka,train-ticket_v0.0.1_ts-notification-service,microservice-kafka_order,qbike_position,microservice-kafka_apache,micro_webshop_zuul,qbike_rabbit,microservice-kafka_invoicing,jhipster-microservices-example_store,qbike_uc,qbike_mysql,
,,train-ticket_v0.0.1_ts-train-service,microservice-kafka_shipping,qbike_order,microservice-kafka_postgres,microservice-kafka_invoicing,spring-netflix-oss-microservices_rabbitmq,microservice-kafka_shipping,micro_webshop_zuul,qbike_intention,qbike_rabbit,
,,train-ticket_v1.0.0_ts-contacts-service,microservice-kafka_kafka,train-ticket_v0.0.1_ts-login-service,,microservice-kafka_shipping,,microservice-kafka_kafka,microservice-kafka_invoicing,qbike_position,,
,,train-ticket_v1.0.0_ts-user-service,qbike_mysql,train-ticket_v0.0.1_ts-register-service,,microservice-kafka_kafka,,qbike_rabbit,microservice-kafka_shipping,qbike_order,,
,,,qbike_rabbit,train-ticket_v0.0.1_ts-admin-basic-info-service,,piggymetrics_rabbitmq,,scaffold-cloud_scaffold-zuul,microservice-kafka_kafka,,,
,,,,train-ticket_v0.0.1_ts-execute-service,,qbike_microservice-api-gateway,,,qbike_microservice-api-gateway,,,
,,,,train-ticket_v0.0.1_ts-admin-order-service,,scaffold-cloud_scaffold-zuul,,,scaffold-cloud_scaffold-zuul,,,
,,,,train-ticket_v0.0.1_ts-admin-travel-service,,spring-netflix-oss-microservices_rabbitmq,,,,,,
,,,,train-ticket_v1.0.0_ts-admin-basic-info-service,,train-ticket_v0.0.1_ts-train-service,,,,,,
,,,,train-ticket_v1.0.0_ts-execute-service,,,,,,,,
,,,,train-ticket_v1.0.0_ts-admin-order-service,,,,,,,,
,,,,train-ticket_v1.0.0_ts-admin-route-service,,,,,,,,
