Degree,Degree Centrality,In-degree,In-degree Centrality,Out-degree,Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score
train-ticket_v0.0.1_ts-preserve-other-service,Basilisk_rabbitmq,train-ticket_v0.0.1_ts-sso-service,Basilisk_rabbitmq,train-ticket_v0.0.1_ts-preserve-other-service,Basilisk_rabbitmq,micro_webshop_zuul,Basilisk_rabbitmq,Basilisk_rabbitmq,Basilisk_rabbitmq,Basilisk_benchmark-service,website_registry
train-ticket_v0.0.1_ts-preserve-service,jhipster-microservices-example_jhipster-registry,train-ticket_v0.0.1_ts-station-service,scaffold-cloud_scaffold-eureka,train-ticket_v0.0.1_ts-preserve-service,blog-microservices_config-server,scaffold-cloud_scaffold-zuul,jhipster-microservices-example_jhipster-registry,scaffold-cloud_scaffold-eureka,microservice-kafka_kafka,Basilisk_repository-service,Basilisk_rabbitmq
train-ticket_v0.0.1_ts-travel-service,Basilisk_benchmark-service,scaffold-cloud_scaffold-eureka,micro_webshop_eureka,train-ticket_v1.0.0_ts-preserve-other-service,microservices-basics-spring-boot_configserver,qbike_microservice-api-gateway,website_gateway,micro_webshop_eureka,jhipster-microservices-example_jhipster-registry,website_backend,scaffold-cloud_scaffold-eureka
train-ticket_v1.0.0_ts-preserve-other-service,microservice-kafka_kafka,train-ticket_v0.0.1_ts-order-other-service,Tap-And-Eat-MicroServices_discovery-service,train-ticket_v1.0.0_ts-preserve-service,spring-boot-microservices_configserver,train-ticket_v1.0.0_ts-station-service,sample-spring-cloud-webflux_gateway-service,microservice-kafka_kafka,micro_webshop_zuul,website_authserver,jhipster-microservices-example_jhipster-registry
train-ticket_v1.0.0_ts-preserve-service,Basilisk_repository-service,train-ticket_v0.0.1_ts-order-service,spring-boot-microservices-workshop_discovery-server,blog-microservices_config-server,Tap-And-Eat-MicroServices_config-service,DentalAppointment_personal-info-service,sample-spring-cloud-webflux_discovery-service,Tap-And-Eat-MicroServices_discovery-service,scaffold-cloud_scaffold-zuul,jhipster-microservices-example_github-repository,qbike_rabbit
train-ticket_v0.0.1_ts-sso-service,scaffold-cloud_scaffold-eureka,train-ticket_v1.0.0_ts-station-service,microservice-kafka_kafka,microservices-basics-spring-boot_configserver,spring-boot-microservices-workshop_movie-catalog-service,blog-microservices_discovery-server,springcloudmicroservices_serviceregistry,spring-boot-microservices-workshop_discovery-server,scaffold-cloud_scaffold-eureka,jhipster-microservices-example_store,micro_webshop_eureka
train-ticket_v0.0.1_ts-order-service,micro_webshop_eureka,train-ticket_v1.0.0_ts-order-service,jhipster-microservices-example_jhipster-registry,piggymetrics_config,jhipster-microservices-example_jhipster-registry,Tap-And-Eat-MicroServices_discovery-service,springcloudmicroservices_api-gateway,Basilisk_benchmark-service,jhipster-microservices-example_store,blog-microservices_config-server,qbike_mysql
train-ticket_v0.0.1_ts-order-other-service,blog-microservices_config-server,train-ticket_v0.0.1_ts-travel-service,spring-boot-microservices_webservice-registry,train-ticket_v0.0.1_ts-rebook-service,geocoder-microservices_configurator,microservice-kafka_kafka,website_registry,microservice-kafka_invoicing,jhipster-microservices-example_blog,microservice-kafka_apache,microservice-kafka_shipping
train-ticket_v0.0.1_ts-travel2-service,microservices-basics-spring-boot_configserver,Tap-And-Eat-MicroServices_discovery-service,microservice-consul_consul,spring-boot-microservices_configserver,spring-cloud-movie-recommendation_config-service,Basilisk_rabbitmq,microservice_eureka,microservice-kafka_shipping,Basilisk_repository-service,microservice-kafka_postgres,microservice-kafka_invoicing
train-ticket_v0.0.1_ts-seat-service,spring-boot-microservices_configserver,java-microservice_logstash,microservice_eureka,spring-netflix-oss-microservices_config-server,microservice-consul_apache,spring-boot-microservices-workshop_discovery-server,microservice-kafka_kafka,jhipster-microservices-example_jhipster-registry,Basilisk_benchmark-service,microservices-basics-spring-boot_configserver,microservice-kafka_order
