Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Package,"(Unnamed_Package)",4,1,118,11,76,32,54,24,38,,"0,42",24,1,22,1,,,,,2,2,5,,,1,0,3,,0,1,1,1,,26,54,,42,8,,3,,,11,,,,,,,
Unknown Annotation,"AllArgsConstructor",,,,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,"BaseDto.java",0,,23,6,17,0,10,10,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,16,0,,9,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BaseEntity.java",0,,24,4,20,0,12,12,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,19,0,,11,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BaseEntity.java",0,,25,5,20,0,12,12,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,19,0,,11,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"Benchmark.java",0,,28,6,22,0,16,16,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,8,0,,0,0,0,0,,21,0,,15,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"Benchmark.java",0,,32,7,25,0,17,17,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,7,0,,0,0,0,0,,24,0,,16,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkController.java",1,,75,15,60,0,44,30,19,,"0,00",6,0,6,0,,,,,1,0,0,7,7,7,3,7,,0,3,0,4,,35,20,,34,2,,1,,,9,,,,0,0,"0,00","0,00"
File,"BenchmarkDto.java",0,,43,7,36,0,17,17,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,7,0,,0,0,0,0,,35,0,,16,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJob.java",0,,37,11,26,0,17,17,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,5,0,,0,0,0,0,,25,0,,16,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJob.java",0,,32,8,24,0,15,15,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,3,0,,0,0,0,0,,23,0,,14,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJobAbortCommand.java",0,,19,6,13,0,8,8,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,12,0,,7,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJobAbortedEvent.java",0,,15,3,12,0,7,7,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,11,0,,6,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJobDto.java",0,,24,6,18,0,11,11,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,2,0,,0,0,0,0,,17,0,,10,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJobFailedEvent.java",0,,17,5,12,0,7,7,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,11,0,,6,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJobFinishedEvent.java",0,,15,3,12,0,7,7,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,1,0,,0,0,0,0,,11,0,,6,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"BenchmarkJobRepository.java",0,,13,3,10,0,8,8,0,,"0,00",0,0,0,0,,,,,1,0,0,0,1,1,0,1,,1,0,0,0,,9,0,,7,0,,0,,,0,,,,0,0,"0,00","0,00"
