Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"AdminDto.java",0,,36,10,18,8,14,14,0,,"0,44",0,0,0,0,,,,,1,0,1,0,0,0,7,0,,0,0,0,0,,17,1,,13,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AdminDto.java",0,,36,10,18,8,14,14,0,,"0,44",0,0,0,0,,,,,1,0,1,0,0,0,7,0,,0,0,0,0,,17,1,,13,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AdminInfo.java",0,,43,13,22,8,17,17,0,,"0,36",0,0,0,0,,,,,1,0,1,0,0,0,8,0,,0,0,0,0,,21,1,,16,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AdminInfoController.java",2,,115,14,94,7,43,26,22,,"0,07",11,1,11,0,,,,,1,0,0,7,7,7,1,7,,0,0,0,7,,58,25,,30,2,,1,,,12,,,,0,0,"0,00","0,00"
File,"AdminInfoMapper.java",0,,16,3,5,8,4,4,0,,"1,60",0,0,0,0,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,,4,0,,3,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AdminInfoMapper.xml",0,,5,1,4,0,0,0,0,0,"0,00",0,0,0,0,,,,,0,,,0,0,,,,,,,,,,,,,,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AdminInfoService.java",0,,58,10,18,30,16,16,0,,"1,67",0,0,0,0,,,,,1,0,0,0,8,8,0,8,,8,0,0,0,,17,0,,15,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AdminInfoServiceImpl.java",2,,152,22,128,2,86,44,56,,"0,02",14,1,13,0,,,,,1,0,0,8,8,8,2,8,,0,0,0,8,,57,65,,69,3,,1,,,16,,,,0,0,"0,00","0,00"
File,"AppointmentController.java",2,,107,7,93,7,49,24,30,,"0,08",11,0,11,0,,,,,1,0,0,7,7,7,1,7,,0,0,0,7,,49,37,,32,3,,1,,,16,,,,0,0,"0,00","0,00"
File,"AppointmentController.java",2,,53,7,46,0,27,14,14,,"0,00",8,0,8,0,,,,,1,0,0,4,4,4,1,4,,0,0,0,4,,22,17,,19,2,,1,,,7,,,,0,0,"0,00","0,00"
File,"AppointmentDelDto.java",0,,4,1,3,0,2,2,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,0,0,,0,0,0,0,,2,0,,1,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentDto.java",0,,38,4,34,0,24,24,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,10,0,,0,0,0,0,,33,0,,23,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentDto.java",0,,22,4,18,0,14,14,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,7,0,,0,0,0,0,,17,0,,13,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentDto1.java",0,,22,3,19,0,15,15,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,9,0,,0,0,0,0,,18,0,,14,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentDto2.java",0,,22,3,19,0,15,15,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,9,0,,0,0,0,0,,18,0,,14,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentDto3.java",0,,22,3,19,0,15,15,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,9,0,,0,0,0,0,,18,0,,14,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentFeignService.java",0,,11,2,9,0,6,6,0,,"0,00",0,0,0,0,,,,,1,0,0,0,1,1,0,1,,1,0,0,0,,8,0,,5,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AppointmentMQService.java",3,,77,6,59,12,42,24,24,,"0,20",16,0,13,3,,,,,1,0,0,3,3,3,2,3,,0,0,0,3,,28,27,,31,8,,4,,,10,,,,0,0,"0,00","0,00"
File,"AppointmentPo.java",0,,22,3,19,0,15,15,0,,"0,00",0,0,0,0,,,,,1,0,0,0,0,0,8,0,,0,0,0,0,,18,0,,14,0,,0,,,0,,,,0,0,"0,00","0,00"
