Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"Account.java",0,,46,8,33,5,19,19,0,,"0,15",0,0,0,0,,,,,1,0,0,0,0,0,7,0,,0,0,0,0,,32,0,,18,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AccountRepository.java",0,,17,7,10,0,8,8,0,,"0,00",0,0,0,0,,,,,1,0,0,0,3,3,0,3,,3,0,0,0,,9,0,,7,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"AccountServiceApplication.java",1,,37,9,23,5,15,13,3,,"0,22",5,0,5,0,,,,,1,1,0,2,2,1,1,2,,0,0,0,2,,18,4,,12,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"AccountServiceApplicationTests.java",1,,16,4,12,0,7,7,0,,"0,00",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,10,0,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ConfigServiceApplication.java",1,,21,3,13,5,8,7,1,,"0,38",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,10,1,,6,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ConfigServiceApplicationTests.java",1,,16,4,12,0,7,7,0,,"0,00",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,10,0,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,52,8,39,5,22,21,1,,"0,13",3,0,3,0,,,,,1,0,0,1,1,1,11,1,,0,0,0,1,,36,1,,20,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CustomerRepository.java",0,,19,5,9,5,6,6,0,,"0,56",0,0,0,0,,,,,1,0,0,0,1,1,0,1,,1,0,0,0,,8,0,,5,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"CustomerServiceApplication.java",1,,19,3,11,5,7,6,1,,"0,45",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,8,1,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CustomerServiceApplicationTests.java",1,,16,4,12,0,7,7,0,,"0,00",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,10,0,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
