Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
Unknown Annotation,"Api",,,,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,"ApiException.java",1,,11,2,9,0,6,4,2,,"0,00",4,0,4,0,,,,,1,0,0,1,1,1,1,1,,0,0,0,1,,5,2,,4,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ApiException.java",1,,11,2,9,0,6,4,2,,"0,00",4,0,4,0,,,,,1,0,0,1,1,1,1,1,,0,0,0,1,,5,2,,4,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ApiException.java",1,,11,2,9,0,6,4,2,,"0,00",4,0,4,0,,,,,1,0,0,1,1,1,1,1,,0,0,0,1,,5,2,,4,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"ApiOriginFilter.java",1,,28,6,22,0,13,9,4,,"0,00",5,0,5,0,,,,,1,0,0,3,3,3,0,3,,0,0,0,3,,14,5,,9,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"ApiOriginFilter.java",1,,28,6,22,0,13,9,4,,"0,00",5,0,5,0,,,,,1,0,0,3,3,3,0,3,,0,0,0,3,,14,5,,9,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"ApiOriginFilter.java",1,,28,6,22,0,13,9,4,,"0,00",5,0,5,0,,,,,1,0,0,3,3,3,0,3,,0,0,0,3,,14,5,,9,1,,0,,,3,,,,0,0,"0,00","0,00"
Unknown Annotation,"ApiParam",,,,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File,"ApiResponseMessage.java",2,,70,12,58,0,40,19,21,,"0,00",6,0,6,0,,,,,1,0,5,8,8,8,3,8,,0,0,0,8,,22,32,,30,6,,1,,,13,,,,0,0,"0,00","0,00"
File,"ApiResponseMessage.java",2,,70,12,58,0,40,19,21,,"0,00",6,0,6,0,,,,,1,0,5,8,8,8,3,8,,0,0,0,8,,22,32,,30,6,,1,,,13,,,,0,0,"0,00","0,00"
