Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"CatalogApp.java",1,,37,8,29,0,19,13,6,,"0,00",5,0,5,0,,,,,1,1,0,3,3,2,1,3,,0,0,0,3,,19,6,,15,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CatalogClient.java",1,,84,16,68,2,52,35,21,,"0,03",6,0,6,0,,,,,2,0,0,7,7,7,5,7,,0,1,1,5,,40,22,,42,2,,1,,,8,,,,0,0,"0,00","0,00"
File,"CatalogClient.java",1,,93,18,75,2,58,39,24,,"0,03",7,0,6,0,,,,,2,0,0,7,7,7,6,7,,0,1,1,5,,45,25,,48,2,,1,,,8,,,,0,0,"0,00","0,00"
File,"CatalogConsumerDrivenContractTest.java",1,,43,9,34,0,20,18,6,,"0,00",6,0,6,0,,,,,1,0,0,3,3,2,1,2,,0,0,0,2,,24,11,,17,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CatalogConsumerDrivenContractTest.java",1,,44,8,36,0,22,20,6,,"0,00",6,0,6,0,,,,,1,0,0,3,3,2,1,2,,0,0,0,2,,26,11,,19,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CatalogController.java",1,,70,14,56,0,35,22,13,,"0,00",5,0,5,0,,,,,1,0,0,9,9,9,1,9,,0,0,0,9,,32,14,,25,1,,0,,,9,,,,0,0,"0,00","0,00"
File,"CatalogStub.java",2,,38,7,31,0,19,15,4,,"0,00",7,0,7,0,,,,,1,0,0,2,2,2,0,2,,0,0,0,2,,20,7,,15,2,,1,,,3,,,,0,0,"0,00","0,00"
File,"CatalogTestApp.java",1,,17,4,13,0,9,7,3,,"0,00",5,0,5,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,9,3,,7,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CatalogWebIntegrationTest.java",1,,97,23,74,1,53,41,23,,"0,01",7,1,6,0,,,,,1,0,0,7,7,7,4,7,,0,2,0,5,,54,25,,45,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,115,28,87,0,56,33,23,,"0,00",4,0,4,0,,,,,1,0,0,17,17,17,6,17,,0,0,0,17,,46,23,,38,1,,0,,,17,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,106,29,77,0,53,31,22,,"0,00",4,0,4,0,,,,,1,0,0,17,17,17,6,17,,0,0,0,17,,37,22,,35,1,,0,,,17,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,103,28,75,0,52,30,22,,"0,00",4,0,4,0,,,,,1,0,0,17,17,17,6,17,,0,0,0,17,,35,22,,34,1,,0,,,17,,,,0,0,"0,00","0,00"
File,"CustomerApp.java",1,,37,8,29,0,17,13,4,,"0,00",5,0,5,0,,,,,1,1,0,3,3,2,1,3,,0,0,0,3,,19,6,,13,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CustomerClient.java",1,,104,17,87,2,60,39,27,,"0,02",9,0,8,0,,,,,2,0,0,7,7,7,5,7,,0,1,1,5,,47,37,,48,3,,2,,,10,,,,0,0,"0,00","0,00"
File,"CustomerClient.java",1,,105,18,87,2,66,43,30,,"0,02",8,0,8,0,,,,,2,0,0,7,7,7,6,7,,0,1,1,5,,50,34,,54,3,,2,,,10,,,,0,0,"0,00","0,00"
File,"CustomerConsumerDrivenContractTest.java",1,,55,10,45,0,25,21,10,,"0,00",9,0,9,0,,,,,1,0,0,4,4,3,1,3,,0,0,0,3,,28,19,,21,1,,0,,,4,,,,0,0,"0,00","0,00"
File,"CustomerConsumerDrivenContractTest.java",1,,55,9,46,0,27,23,10,,"0,00",8,0,8,0,,,,,1,0,0,4,4,3,1,3,,0,0,0,3,,30,18,,23,1,,0,,,4,,,,0,0,"0,00","0,00"
File,"CustomerController.java",1,,63,13,50,0,31,20,11,,"0,00",5,0,5,0,,,,,1,0,0,7,7,7,1,7,,0,0,0,7,,29,13,,23,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"CustomerRepository.java",0,,15,5,10,0,7,7,0,,"0,00",0,0,0,0,,,,,1,0,0,0,1,1,0,1,,1,0,0,0,,9,0,,6,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"CustomerStub.java",2,,40,8,32,0,19,15,4,,"0,00",8,1,8,0,,,,,1,0,0,2,2,2,0,2,,0,0,0,2,,20,8,,15,2,,1,,,3,,,,0,0,"0,00","0,00"
File,"CustomerTestApp.java",1,,19,4,15,0,10,8,3,,"0,00",5,0,5,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,11,3,,8,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CustomerWebIntegrationTest.java",1,,131,29,102,1,70,47,36,,"0,01",9,1,8,0,,,,,1,0,0,9,9,8,3,8,,0,2,0,6,,66,46,,61,1,,0,,,9,,,,0,0,"0,00","0,00"
File,"Item.java",1,,76,19,57,0,37,23,14,,"0,00",4,0,4,0,,,,,1,0,0,11,11,11,3,11,,0,0,0,11,,31,14,,25,1,,0,,,11,,,,0,0,"0,00","0,00"
File,"Item.java",1,,70,19,51,0,35,21,14,,"0,00",4,0,4,0,,,,,1,0,0,11,11,11,3,11,,0,0,0,11,,25,14,,23,1,,0,,,11,,,,0,0,"0,00","0,00"
File,"Item.java",1,,70,19,51,0,35,21,14,,"0,00",4,0,4,0,,,,,1,0,0,11,11,11,3,11,,0,0,0,11,,25,14,,23,1,,0,,,11,,,,0,0,"0,00","0,00"
