Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"ApplicationTests.java",1,,37,7,30,2,20,18,5,,"0,07",6,0,6,1,,,,,1,0,0,2,2,2,2,2,,0,0,0,2,,25,8,,17,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"CatalogApp.java",1,,37,8,29,0,19,13,6,,"0,00",5,0,5,0,,,,,1,1,0,3,3,2,1,3,,0,0,0,3,,19,6,,15,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CatalogClient.java",1,,90,16,74,2,52,35,21,,"0,03",7,0,7,0,,,,,2,0,0,7,7,7,5,7,,0,1,1,5,,42,27,,42,2,,1,,,8,,,,0,0,"0,00","0,00"
File,"CatalogClient.java",1,,121,20,101,2,68,45,28,,"0,02",6,0,6,0,,,,,2,0,0,11,11,10,7,10,,0,2,1,7,,59,36,,55,2,,1,,,12,,,,0,0,"0,00","0,00"
File,"CatalogConsumerDrivenContractTest.java",1,,39,8,31,0,21,19,6,,"0,00",5,0,5,0,,,,,1,0,0,3,3,2,1,2,,0,0,0,2,,25,7,,18,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CatalogConsumerDrivenContractTest.java",1,,42,9,33,0,23,21,6,,"0,00",5,0,5,0,,,,,1,0,0,3,3,2,1,2,,0,0,0,2,,27,7,,20,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CatalogController.java",1,,69,14,55,0,35,22,13,,"0,00",4,0,4,0,,,,,1,0,0,9,9,9,1,9,,0,0,0,9,,32,13,,25,1,,0,,,9,,,,0,0,"0,00","0,00"
File,"CatalogStub.java",2,,38,7,31,0,19,15,4,,"0,00",7,0,7,0,,,,,1,0,0,2,2,2,0,2,,0,0,0,2,,20,7,,15,2,,1,,,3,,,,0,0,"0,00","0,00"
File,"CatalogTestApp.java",1,,17,4,13,0,9,7,3,,"0,00",5,0,5,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,9,3,,7,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CatalogWebIntegrationTest.java",1,,95,23,72,1,54,42,23,,"0,01",7,1,6,0,,,,,1,0,0,7,7,7,4,7,,0,2,0,5,,52,23,,46,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,115,28,87,0,56,33,23,,"0,00",4,0,4,0,,,,,1,0,0,17,17,17,6,17,,0,0,0,17,,46,23,,38,1,,0,,,17,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,106,29,77,0,53,31,22,,"0,00",4,0,4,0,,,,,1,0,0,17,17,17,6,17,,0,0,0,17,,37,22,,35,1,,0,,,17,,,,0,0,"0,00","0,00"
File,"Customer.java",1,,103,28,75,0,52,30,22,,"0,00",4,0,4,0,,,,,1,0,0,17,17,17,6,17,,0,0,0,17,,35,22,,34,1,,0,,,17,,,,0,0,"0,00","0,00"
File,"CustomerApp.java",1,,37,8,29,0,17,13,4,,"0,00",5,0,5,0,,,,,1,1,0,3,3,2,1,3,,0,0,0,3,,19,6,,13,1,,0,,,3,,,,0,0,"0,00","0,00"
File,"CustomerClient.java",1,,105,17,88,2,60,39,27,,"0,02",9,0,8,0,,,,,2,0,0,7,7,7,5,7,,0,1,1,5,,47,38,,48,3,,2,,,10,,,,0,0,"0,00","0,00"
File,"CustomerClient.java",1,,110,18,92,2,66,43,30,,"0,02",9,0,9,0,,,,,2,0,0,7,7,7,6,7,,0,1,1,5,,51,39,,54,3,,2,,,10,,,,0,0,"0,00","0,00"
File,"CustomerConsumerDrivenContractTest.java",1,,52,10,42,0,26,22,10,,"0,00",7,0,7,0,,,,,1,0,0,4,4,3,1,3,,0,0,0,3,,29,15,,22,1,,0,,,4,,,,0,0,"0,00","0,00"
File,"CustomerConsumerDrivenContractTest.java",1,,54,10,44,0,28,24,10,,"0,00",7,0,7,0,,,,,1,0,0,4,4,3,1,3,,0,0,0,3,,31,15,,24,1,,0,,,4,,,,0,0,"0,00","0,00"
File,"CustomerController.java",1,,60,13,47,0,31,20,11,,"0,00",5,0,5,0,,,,,1,0,0,7,7,7,1,7,,0,0,0,7,,28,11,,23,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"CustomerRepository.java",0,,15,5,10,0,7,7,0,,"0,00",0,0,0,0,,,,,1,0,0,0,1,1,0,1,,1,0,0,0,,9,0,,6,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"CustomerStub.java",2,,40,8,32,0,19,15,4,,"0,00",8,1,8,0,,,,,1,0,0,2,2,2,0,2,,0,0,0,2,,20,8,,15,2,,1,,,3,,,,0,0,"0,00","0,00"
File,"CustomerTestApp.java",1,,19,4,15,0,10,8,3,,"0,00",5,0,5,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,11,3,,8,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"CustomerWebIntegrationTest.java",1,,124,29,95,1,71,48,36,,"0,01",8,1,7,0,,,,,1,0,0,9,9,8,3,8,,0,2,0,6,,61,39,,62,1,,0,,,9,,,,0,0,"0,00","0,00"
File,"EurekaApplication.java",1,,15,4,11,0,7,6,1,,"0,00",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,8,1,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"Item.java",1,,76,19,57,0,37,23,14,,"0,00",4,0,4,0,,,,,1,0,0,11,11,11,3,11,,0,0,0,11,,31,14,,25,1,,0,,,11,,,,0,0,"0,00","0,00"
File,"Item.java",1,,70,19,51,0,35,21,14,,"0,00",4,0,4,0,,,,,1,0,0,11,11,11,3,11,,0,0,0,11,,25,14,,23,1,,0,,,11,,,,0,0,"0,00","0,00"
File,"Item.java",1,,70,19,51,0,35,21,14,,"0,00",4,0,4,0,,,,,1,0,0,11,11,11,3,11,,0,0,0,11,,25,14,,23,1,,0,,,11,,,,0,0,"0,00","0,00"
