Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"ConfigApplication.java",1,,15,4,11,0,7,6,1,,"0,00",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,8,1,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"Department.java",1,,60,16,44,0,31,19,13,,"0,00",3,0,3,0,,,,,1,0,0,11,11,11,4,11,,0,0,0,11,,20,13,,19,1,,0,,,11,,,,0,0,"0,00","0,00"
File,"Department.java",1,,50,14,36,0,25,16,10,,"0,00",3,0,3,0,,,,,1,0,0,9,9,9,3,9,,0,0,0,9,,17,10,,15,1,,0,,,9,,,,0,0,"0,00","0,00"
File,"DepartmentAppTests.java",1,,65,8,57,0,37,25,17,,"0,00",7,0,7,0,,,,,1,0,0,5,5,5,2,5,,5,0,0,0,,37,18,,31,1,,0,,,5,,,,0,0,"0,00","0,00"
File,"DepartmentApplication.java",1,,33,5,28,0,19,13,7,,"0,00",6,0,6,0,,,,,1,1,0,2,2,1,0,2,,1,0,0,1,,19,7,,16,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"DepartmentClient.java",0,,20,7,13,0,9,9,0,,"0,00",0,0,0,0,,,,,1,0,0,0,2,2,0,2,,0,0,0,2,,12,0,,8,0,,0,,,0,,,,0,0,"0,00","0,00"
File,"DepartmentController.java",1,,57,12,45,0,32,19,15,,"0,00",5,0,5,0,,,,,1,0,1,7,7,6,2,6,,0,0,0,6,,25,15,,25,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"DepartmentRepository.java",1,,35,9,26,0,16,10,7,,"0,00",4,0,4,0,,,,,1,0,0,6,6,4,1,4,,0,0,0,4,,10,12,,11,1,,0,,,6,,,,0,0,"0,00","0,00"
File,"DepartmentRepositoryTest.java",1,,51,9,42,0,28,19,14,,"0,00",7,0,7,0,,,,,1,0,1,4,4,4,0,4,,4,0,0,0,,28,14,,23,1,,0,,,4,,,,0,0,"0,00","0,00"
File,"DiscoveryApplication.java",1,,15,4,11,0,7,6,1,,"0,00",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,8,1,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"Employee.java",1,,57,15,42,0,29,17,12,,"0,00",3,0,3,0,,,,,1,0,0,11,11,11,4,11,,0,0,0,11,,18,12,,17,1,,0,,,11,,,,0,0,"0,00","0,00"
File,"Employee.java",1,,78,19,59,0,41,23,18,,"0,00",3,0,3,0,,,,,1,0,0,15,15,15,6,15,,0,0,0,15,,24,19,,25,1,,0,,,15,,,,0,0,"0,00","0,00"
