Kind,Name,AvgCyclomatic,CountDeclFile,CountLine,CountLineBlank,CountLineCode,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,RatioCommentToCode,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLineCodeDecl,CountLineCodeExe,CountOutput,CountSemicolon,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountCCViol,CountCCViolType,CCViolDensityLine,CCViolDensityCode
File,"CatalogItem.java",1,,37,8,29,0,21,12,9,,"0,00",3,0,3,0,,,,,1,0,0,7,7,7,3,7,,0,0,0,7,,12,9,,13,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"CatalogResource.java",1,,47,10,33,6,23,21,4,,"0,18",9,2,7,2,,,,,1,0,0,2,2,1,2,1,,0,0,0,1,,26,7,,21,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"DiscoveryServerApplication.java",1,,16,5,11,0,7,6,1,,"0,00",3,0,3,0,,,,,1,1,0,1,1,0,0,1,,0,0,0,1,,8,1,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"DiscoveryServerApplicationTests.java",1,,17,5,12,0,7,7,0,,"0,00",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,10,0,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"Movie.java",1,,41,10,31,0,22,13,9,,"0,00",3,0,3,0,,,,,1,0,0,8,8,8,3,8,,0,0,0,8,,13,9,,13,1,,0,,,8,,,,0,0,"0,00","0,00"
File,"Movie.java",1,,37,8,29,0,21,12,9,,"0,00",3,0,3,0,,,,,1,0,0,7,7,7,3,7,,0,0,0,7,,12,9,,13,1,,0,,,7,,,,0,0,"0,00","0,00"
File,"MovieCatalogServiceApplication.java",1,,24,5,19,0,12,10,2,,"0,00",4,0,4,0,,,,,1,1,0,2,2,1,0,2,,0,0,0,2,,14,2,,9,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"MovieCatalogServiceApplicationTests.java",1,,17,5,12,0,7,7,0,,"0,00",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,10,0,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"MovieInfoServiceApplication.java",1,,22,5,17,0,11,9,2,,"0,00",4,0,4,0,,,,,1,1,0,2,2,1,0,2,,0,0,0,2,,12,2,,8,1,,0,,,2,,,,0,0,"0,00","0,00"
File,"MovieInfoServiceApplicationTests.java",1,,17,5,12,0,7,7,0,,"0,00",3,0,3,0,,,,,1,0,0,1,1,1,0,1,,0,0,0,1,,10,0,,5,1,,0,,,1,,,,0,0,"0,00","0,00"
File,"MovieResource.java",1,,29,7,22,1,15,14,2,,"0,05",6,1,5,1,,,,,1,0,0,1,1,1,2,1,,0,0,0,1,,19,2,,13,1,,0,,,1,,,,0,0,"0,00","0,00"
